block,obscount,temp,precip,road_length,blockk,category
235,54,13.5817172377478,1.46305249915947,7410.08939831678,235,Water
236,16,13.5552748273749,1.45871878547069,2589.56367369725,236,Water
237,2,13.5284208757443,1.45823372432252,1016.05471266109,237,Water
238,10,13.5013561301468,1.45769521758701,1928.25653712673,238,Water
239,830,13.4742947238914,1.45834315215747,5226.3493324009,239,Water
240,6,13.4474602471728,1.4624157165491,2483.28057785633,240,Semi-bebouwd
241,21,13.421081595411,1.46109684493948,2800.65384260382,241,Recreatie
242,53,13.3953885971183,1.4616281982326,4198.28242801563,242,Water
243,3,13.3706078732705,1.46149156430932,4522.66125472701,243,Recreatie
244,5,13.3469581763718,1.45767110139543,1673.49535660853,244,Semi-bebouwd
245,5,13.3246465868713,1.45704836834695,2657.50302285261,245,Landbouw
246,1,13.3038650097439,1.45180487369306,2125.96929979391,246,Recreatie
