block,maintainer,scale,roadlength
593,W,1,1794.23938544205
594,W,1,2674.05622372691
595,W,1,2817.20696203366
596,G,1,420.563842204819
596,W,1,3073.17286675035
597,G,1,1168.06581530819
597,P,1,529.978263950835
597,W,1,1489.62945230296
598,G,1,928.491457262085
598,W,1,1601.73168205434
612,W,1,2403.77270380804
613,G,1,173.965245728942
613,W,1,2234.90527443558
614,R,1,3970.65532052935
614,W,1,1467.39559105207
615,R,1,1460.70983475704
615,W,1,2596.16896671785
616,W,1,2007.34792928258
617,W,1,2774.08219268365
618,W,1,2273.99396877338
619,G,1,58.3323108288245
619,W,1,2469.27236828769
620,G,1,69.1911153856165
620,W,1,3485.40750188465
621,G,1,277.161161235917
621,P,1,303.628780601003
621,W,1,1266.31254706967
626,G,1,70.5639357166354
627,G,1,12481.8411048542
628,G,1,17325.6018957603
628,P,1,1512.522163836
629,G,1,16878.8241678415
630,G,1,4004.04088784226
630,W,1,3005.53517947343
631,G,1,452.315457212041
631,W,1,1947.06302054946
632,P,1,1032.19915369668
632,W,1,1557.23899547382
633,G,1,448.264513954463
633,W,1,1880.7509956944
634,W,1,1913.69883376631
635,G,1,636.739444775763
635,T,1,38.8023993451139
635,W,1,2587.25458360506
636,W,1,3000.10233571688
637,G,1,11.5665522823097
637,W,1,2134.2941860812
638,G,1,147.431919760959
638,W,1,2462.32541239484
639,P,1,34.7859383531099
639,W,1,1684.24363809826
640,P,1,1275.90348041778
640,W,1,1263.1474490661
641,P,1,238.189629272848
641,W,1,1151.7027514846
642,W,1,2958.53215618301
643,W,1,36.6188699247844
657,W,1,1313.28972035651
658,G,1,1028.19882637367
658,R,1,6332.36308179524
658,T,1,435.837966747465
658,W,1,455.003075024726
659,R,1,1377.24371987074
659,W,1,2014.63563375157
660,W,1,2282.6596034877
661,W,1,1649.31454177542
662,W,1,1752.21849834666
663,W,1,2267.45381987983
664,G,1,719.850526386852
664,W,1,3806.32955731246
665,G,1,1406.41043510579
665,W,1,4366.95914027964
671,G,1,17.2411194052801
672,G,1,10258.3444133417
672,W,1,310.8190163847
673,G,1,12622.4800593505
673,P,1,492.830493619924
673,R,1,873.807443053284
673,W,1,11.1803398874989
674,G,1,19633.8751927895
674,P,1,2122.24566081915
674,R,1,94.8652070139369
675,G,1,10003.7531851826
675,P,1,2121.99613699479
675,W,1,1283.14895250229
676,G,1,7032.65770477815
676,P,1,1242.1087615657
676,T,1,42.7153735647331
676,W,1,2060.84080592742
677,G,1,11408.0908642622
677,P,1,227.794741909134
677,W,1,656.524684218685
678,G,1,14057.9621868413
678,W,1,140.417697920666
679,G,1,6917.26859343219
679,W,1,1992.63187949428
680,W,1,3527.85274433552
681,G,1,35.5265934494145
681,W,1,1752.72591570855
682,T,1,56.6894584440281
682,W,1,1205.79134202788
683,G,1,4098.91504218936
683,W,1,1118.87280878095
684,G,1,4962.94258961478
684,P,1,1193.67526087289
684,R,1,42.7589762510002
684,W,1,1002.00804421993
685,P,1,116.866898735996
685,R,1,175.355277056285
685,W,1,3336.76857336572
686,W,1,2265.66169773123
687,W,1,2650.8145109249
688,W,1,138.463269037823
703,W,1,2463.45779994677
704,G,1,10220.0108421554
704,R,1,5044.82933144841
704,W,1,540.863492860237
705,G,1,2975.85113098468
705,W,1,1325.90926362849
706,W,1,2821.55504705428
707,W,1,2653.88544583961
708,W,1,2112.28885502696
709,W,1,2177.85443670333
710,W,1,1459.29185044
711,W,1,2012.84003651876
717,G,1,43.2358028066387
718,G,1,1489.06062136384
718,W,1,3991.93439458593
719,G,1,715.923450131255
719,P,1,165.916237548885
719,W,1,3034.47506969635
720,G,1,11504.6140929245
720,P,1,1268.76991471784
720,R,1,4370.02878131172
720,W,1,755.748332551774
721,G,1,10265.8713055496
721,R,1,568.939194500171
721,W,1,1867.82872700366
722,G,1,10644.017808402
722,P,1,880.266398053301
722,W,1,919.419387989678
723,G,1,20994.2283102159
723,P,1,1933.37073961933
723,T,1,65.0858578894842
724,G,1,26359.9987773757
725,G,1,13906.0531790113
725,W,1,208.022312208867
726,G,1,3845.81792768041
726,W,1,1434.9325277369
727,G,1,4593.26371731167
727,R,1,743.009899163704
727,W,1,1881.07904677833
728,G,1,313.112824370605
728,R,1,1037.82334372502
728,T,1,15.3593631790904
728,W,1,1083.35594917423
729,G,1,999.105814201361
729,R,1,2023.13002382922
729,W,1,2655.33685234466
730,G,1,520.277365078453
730,R,1,2654.38682403844
730,W,1,2345.40953117146
731,R,1,4368.08394461874
731,W,1,1933.38854253276
732,G,1,266.990513515336
732,R,1,1083.00684737331
732,W,1,2120.71885570165
733,G,1,1008.5761359539
733,W,1,3973.36059447634
734,G,1,92.712624017846
734,W,1,702.668092271628
750,W,1,1814.9480339426
751,W,1,1577.86890603993
752,G,1,16.111306114825
752,R,1,4887.50760046953
752,W,1,1440.95583805484
753,W,1,2777.32202586541
754,W,1,2483.29863023041
755,W,1,2587.06923839472
756,W,1,3699.75491047456
757,W,1,1124.01054214007
758,W,1,1422.89095084156
766,G,1,2777.02126287445
766,W,1,3626.01803629086
767,G,1,952.916883305302
767,P,1,1102.94258796419
767,W,1,3190.98827777996
768,W,1,2399.66020995089
769,G,1,94.9210198006743
769,R,1,2375.57622892831
769,W,1,3185.83626416615
770,G,1,17872.9763224741
770,W,1,1389.334056138
771,G,1,21850.6341860377
772,G,1,22097.2521924949
773,G,1,16311.6911718195
774,G,1,6628.91363206071
774,R,1,2434.07544093191
774,W,1,1929.50976976107
775,R,1,495.899940743702
775,W,1,2342.19958044633
776,W,1,2626.13398816818
777,G,1,2160.81376541781
777,W,1,1883.23809924168
778,W,1,1993.92504635599
779,W,1,2087.80457017039
780,G,1,1333.07310707359
780,R,1,2686.9805947937
780,W,1,1735.11548827191
781,G,1,4743.55002050223
781,R,1,2326.72826533447
781,T,1,125.559215987986
781,W,1,1160.06339619442
782,G,1,2525.23471170013
782,T,1,603.324279284753
799,W,1,1901.99228339498
800,W,1,2702.41259344129
801,R,1,4030.70066403879
801,W,1,1610.8325947118
802,W,1,2112.29106616998
803,W,1,2133.92291615507
804,W,1,804.746293776632
805,W,1,2072.56336913346
806,W,1,559.302829657683
807,G,1,304.539200387259
807,W,1,2585.14758250698
815,G,1,1655.90459253963
815,W,1,2833.97507975372
816,G,1,96.622449693687
816,P,1,1040.73735848464
816,W,1,3168.52408317631
817,W,1,3193.06270842983
818,P,1,1995.49889191511
818,R,1,1710.70159479226
